M,size_distortion,max_power_loss
1,0.361,0.015000000000000013
2,0.23610000000000003,0.01760000000000006
3,0.1709,0.019300000000000095
4,0.1357,0.02640000000000009
5,0.1113,0.029000000000000026
6,0.0954,0.032500000000000084
7,0.084,0.03550000000000009
8,0.07609999999999999,0.037800000000000056
9,0.0707,0.0383
10,0.0662,0.03980000000000006
