,SPFfor_Step1,SPFfor_Step2,SPFfor_Step3,SPFfor_Step4,SPFfor_Step5,IARfor_Step1,IARfor_Step2,IARfor_Step3,IARfor_Step4,IARfor_Step5,NCfor_Step1,NCfor_Step2,NCfor_Step3,NCfor_Step4,NCfor_Step5,DARfor_Step1,DARfor_Step2,DARfor_Step3,DARfor_Step4,DARfor_Step5,DARMfor_Step1,DARMfor_Step2,DARMfor_Step3,DARMfor_Step4,DARMfor_Step5,Realiz1,Realiz2,Realiz3,Realiz4,Realiz5
2014:01,2.003283391,2.471661535,2.654054013,2.452102239,2.730021635,2.524064483,2.354472028,1.931322822,2.04351118,1.835992432,3.227887341,2.846265278,1.673657879,2.502399697,-0.143486179,2.524064483,2.36705179,2.049479278,2.154992987,1.974172648,#N/A,#N/A,#N/A,#N/A,#N/A,0.107932733,-2.106770603,-0.925615282,-1.182520058,-1.395158597
2014:02,3.307401148,3.001040984,2.855945629,2.893127044,3.174713424,1.243601126,2.243243813,2.238868138,1.984569015,2.0388652,0.107932733,3.227887341,2.846265278,1.673657879,2.502399697,1.243601126,2.458321415,2.233385165,2.028649739,2.129412392,#N/A,#N/A,#N/A,#N/A,#N/A,3.948069197,4.592013264,4.568482377,3.96438535,5.237267937
2014:03,2.999337796,2.892154995,2.810311375,2.93358176,2.892945019,2.644850033,1.691826413,2.131198222,2.188274745,2.016151247,3.948069197,0.107932733,3.227887341,2.846265278,1.673657879,2.644850033,1.354197736,2.241842308,2.231837748,2.106651539,#N/A,#N/A,#N/A,#N/A,#N/A,3.549001425,4.966745213,4.275290191,4.962473513,4.741739673
2014:04,2.704355401,3.065343763,3.238938784,2.710768332,2.925903824,2.473287638,2.210236019,1.868731844,2.086492771,2.146109424,3.549001425,3.948069197,0.107932733,3.227887341,2.846265278,2.473287638,2.618379768,1.74236726,2.259128033,2.15697651,#N/A,#N/A,#N/A,#N/A,#N/A,2.642162052,2.2174438,2.072067124,2.311231899,1.807655876
2015:01,2.652316668,2.764412445,3.125791882,3.117675962,3.234359892,2.114859441,2.125549447,2.065295439,1.938552831,2.068655592,2.642162052,3.549001425,3.948069197,0.107932733,3.227887341,2.114859441,2.445688327,2.224935065,1.673109043,2.111838072,#N/A,#N/A,#N/A,#N/A,#N/A,0.248163988,0.642974988,2.04933191,3.23957509,3.292878774
2015:02,2.477206465,3.029914192,3.093145687,3.109245826,3.137052337,1.357744737,1.956718744,2.013138645,2.016958821,1.966109759,0.248163988,2.642162052,3.549001425,3.948069197,0.107932733,1.357744737,2.0965715,2.134813882,2.281319159,1.975939629,#N/A,#N/A,#N/A,#N/A,#N/A,2.321939273,3.921045117,2.611710263,2.740879317,2.341970192
2015:03,2.712272161,3.122492446,2.81791625,2.790256148,2.962193663,1.925206758,1.71800682,1.909291556,1.976800421,2.000838914,2.321939273,0.248163988,2.642162052,3.549001425,3.948069197,1.925206758,1.435698045,1.980444925,2.1840502,2.034981809,#N/A,#N/A,#N/A,#N/A,#N/A,1.492336949,1.983533039,1.986015945,1.630688516,1.299660353
2015:04,2.619999471,2.821185341,2.900488298,2.758136417,2.992425518,1.680134995,1.78238606,1.834977818,1.895067904,1.965053627,1.492336949,2.321939273,0.248163988,2.642162052,3.549001425,1.680134995,1.866830446,1.750113238,1.983263181,1.99111722,#N/A,#N/A,#N/A,#N/A,#N/A,0.691440814,1.386461124,0.873101669,0.48491813,0.586244073
2016:01,2.021628766,2.513626613,2.803218252,2.421550136,2.938483876,1.320357926,1.756221525,1.730971692,1.872956321,1.89080216,0.691440814,1.492336949,2.321939273,0.248163988,2.642162052,1.320357926,1.711777522,1.7671758,1.689596606,1.909515437,#N/A,#N/A,#N/A,#N/A,#N/A,0.537795101,0.83458343,0.581407902,1.548768691,2.377952882
2016:02,2.065813596,2.470558533,2.620312514,2.754666477,3.035137,1.295424852,1.578944538,1.787048045,1.712462909,1.885287298,0.537795101,0.691440814,1.492336949,2.321939273,0.248163988,1.295424852,1.510776531,1.772915317,1.783801007,1.940046075,#N/A,#N/A,#N/A,#N/A,#N/A,1.218234151,1.413788277,2.236773652,2.281379951,1.214682537
2016:03,2.593243187,2.433907634,2.268817362,2.906998873,2.745042066,1.54962473,1.611383465,1.685265442,1.799537434,1.705799887,1.218234151,0.537795101,0.691440814,1.492336949,2.321939273,1.54962473,1.513933138,1.697393336,1.75132537,1.722336687,#N/A,#N/A,#N/A,#N/A,#N/A,2.901437038,3.516445041,2.779431419,1.924934231,2.426041351
2016:04,2.164661388,2.330062441,2.335162218,2.518629139,2.42881334,2.358964966,1.693456344,1.74314947,1.728980523,1.80459752,2.901437038,1.218234151,0.537795101,0.691440814,1.492336949,2.358964966,1.676653963,1.675297042,1.656555537,1.836081171,#N/A,#N/A,#N/A,#N/A,#N/A,1.8734854,2.079755474,1.759001294,1.762277509,2.003081242
2017:01,2.199999462,2.238494857,2.285510102,2.369574351,2.391490022,1.90014001,2.123038636,1.755882781,1.798100591,1.746954489,1.8734854,2.901437038,1.218234151,0.537795101,0.691440814,1.90014001,2.118719237,1.734851375,1.682185518,1.895009878,#N/A,#N/A,#N/A,#N/A,#N/A,0.694108484,1.23525248,1.784174291,2.288202011,1.89969025
2017:02,3.106333289,2.320455006,2.163657375,2.250337293,2.406454556,1.325572226,1.911753215,2.020432003,1.782977381,1.821017167,0.694108484,1.8734854,2.901437038,1.218234151,0.537795101,1.325572226,1.92270415,2.03695517,1.77164003,1.893524956,#N/A,#N/A,#N/A,#N/A,#N/A,2.568267864,3.061171651,2.99333432,2.15269188,2.258409962
2017:03,2.628237692,2.494140948,2.369856396,2.18938237,2.125336428,2.196661865,1.604051762,1.916812998,1.975807389,1.7947371,2.568267864,0.694108484,1.8734854,2.901437038,1.218234151,2.196661865,1.587630465,1.916510841,1.959062928,1.841202191,#N/A,#N/A,#N/A,#N/A,#N/A,2.987492445,3.155670558,2.821221066,3.202963992,2.907234914
2017:04,2.582124914,2.34455689,2.433635296,2.383208285,2.242366726,2.40337689,2.031333995,1.726863013,1.919017506,1.956399715,2.987492445,2.568267864,0.694108484,1.8734854,2.901437038,2.40337689,2.04940034,1.718728412,1.916027064,1.899957339,#N/A,#N/A,#N/A,#N/A,#N/A,2.555015139,2.88791814,2.293089096,3.545493992,3.815929991
2018:01,3.011569887,2.421451155,2.225249115,2.428939383,2.233535867,2.243457114,2.142903481,1.957779464,1.781023558,1.919977993,2.555015139,2.987492445,2.568267864,0.694108484,1.8734854,2.243457114,2.186125716,1.988449631,1.765332864,1.91145137,#N/A,#N/A,#N/A,#N/A,#N/A,2.317621377,2.217527157,2.55210662,3.780226779,3.087022696
2018:02,3.022592751,2.86879489,2.367602288,2.401351701,2.736078198,2.12891694,2.104210678,2.026751127,1.925054981,1.804908703,2.317621377,2.555015139,2.987492445,2.568267864,0.694108484,2.12891694,2.120587053,2.074205713,1.944606323,1.852710882,#N/A,#N/A,#N/A,#N/A,#N/A,4.059501373,4.158495303,3.512025451,2.701453115,3.376659247
2018:03,3.047026868,2.977412268,2.780754577,2.13119352,2.429145226,2.869247138,2.043592551,2.04197646,1.974955555,1.910495827,4.059501373,2.317621377,2.555015139,2.987492445,2.568267864,2.869247138,2.067384558,2.064043553,2.000583637,1.900867563,#N/A,#N/A,#N/A,#N/A,#N/A,3.500156422,3.35610805,2.926498373,2.117998236,1.941901334
