,SPFfor_Step1,SPFfor_Step2,SPFfor_Step3,SPFfor_Step4,SPFfor_Step5,NCfor_Step1,NCfor_Step2,NCfor_Step3,NCfor_Step4,NCfor_Step5,Realiz1
2004:02,4.497044396,4.275938569,3.874885334,3.848259396,3.406760776,4.157593435,4.023840447,7.154640986,2.370023476,1.598023647,3.044196332
2004:03,3.484981291,4.12820437,3.939291555,3.674619032,3.598099609,3.044196332,4.157593435,4.023840447,7.154640986,2.370023476,3.711302777
2004:04,3.699998664,4.015104609,4.01290648,4.08179882,3.78451277,3.711302777,3.044196332,4.157593435,4.023840447,7.154640986,3.1473036
2005:01,3.716546272,3.366773687,3.763736452,3.801071668,3.649170115,3.1473036,3.711302777,3.044196332,4.157593435,4.023840447,3.087610315
2005:02,3.000007215,3.664674534,3.433444963,3.693669681,3.954840749,3.087610315,3.1473036,3.711302777,3.044196332,4.157593435,3.413980345
2005:03,4.200024409,3.500659212,3.315192604,3.429571432,3.342993476,3.413980345,3.087610315,3.1473036,3.711302777,3.044196332,3.804502183
2005:04,3.199975116,3.599986161,3.433713457,3.38982065,3.367427935,3.804502183,3.413980345,3.087610315,3.1473036,3.711302777,1.118719793
2006:01,4.397042522,3.723751315,3.258477182,3.233045762,3.573320258,1.118719793,3.804502183,3.413980345,3.087610315,3.1473036,4.817834865
2006:02,3.399998315,3.352517626,3.271093093,3.355203951,3.379132932,4.817834865,1.118719793,3.804502183,3.413980345,3.087610315,2.457735866
2006:03,2.727461623,3.099613657,3.001213614,3.204302639,3.252510863,2.457735866,4.817834865,1.118719793,3.804502183,3.413980345,1.582882278
2006:04,2.483747621,2.872493598,3.000002214,3.242420597,3.198841539,1.582882278,2.457735866,4.817834865,1.118719793,3.804502183,3.473366565
2007:01,2.566229603,2.71628567,2.869805522,2.887505452,3.282672055,3.473366565,1.582882278,2.457735866,4.817834865,1.118719793,1.260145824
2007:02,2.399998653,2.733815282,2.855584116,2.728719189,3.023552242,1.260145824,3.473366565,1.582882278,2.457735866,4.817834865,3.382238985
