,SPFfor_Step1,SPFfor_Step2,SPFfor_Step3,SPFfor_Step4,SPFfor_Step5,IARfor_Step1,IARfor_Step2,IARfor_Step3,IARfor_Step4,IARfor_Step5,NCfor_Step1,NCfor_Step2,NCfor_Step3,NCfor_Step4,NCfor_Step5,DARfor_Step1,DARfor_Step2,DARfor_Step3,DARfor_Step4,DARfor_Step5,DARMfor_Step1,DARMfor_Step2,DARMfor_Step3,DARMfor_Step4,DARMfor_Step5,Realiz1,Realiz2,Realiz3,Realiz4,Realiz5
1982:04,7.9,9.5,12,12.3,12.8,9.449704857,9.19827237,12.55291466,12.0254082,15.78551761,9.316666667,12.42,12.81333333,11.75,15.05333333,9.449704857,12.04992215,12.64035767,11.25628681,15.43935509,7.247914354,10.47115455,11.61528661,13.97451064,10.39634162,7.906666667,7.906666667,7.906666667,7.906666667,7.906666667
1983:01,7.9,7.9,10.15,12.2,11.75,6.101604851,8.235377562,8.032347031,12.7184283,12.04980157,7.906666667,9.316666667,12.42,12.81333333,11.75,6.101604851,9.199919575,12.02571737,13.66628331,12.45512747,7.419944406,6.629220052,11.88143432,10.45485755,14.97964919,8.106666667,8.106666667,8.106666667,8.106666667,8.106666667
1983:02,8.1,7.5,8,10.5,11.5,7.463885143,4.645902271,6.235710704,5.931635871,11.55650666,8.106666667,7.906666667,9.316666667,12.42,12.81333333,7.463885143,5.378621066,9.292579257,12.25049857,13.22782407,7.947425968,6.088722635,8.550052492,12.04469177,8.381941424,8.396666667,8.396666667,8.396666667,8.396666667,8.396666667
1983:03,9.2,7.9,7.7,8,10.3,7.779044304,6.504421062,4.377817525,6.658539139,6.324089856,8.396666667,8.106666667,7.906666667,9.316666667,12.42,7.779044304,6.271280432,8.017841839,9.248710246,12.48309868,9.065039628,6.571297123,7.531838441,8.70146382,11.34805672,9.14,9.14,9.14,9.14,9.14
1983:04,8.8,9.05,8,8,8.5,8.17693696,6.286932212,5.433393307,2.566259935,5.255593503,9.14,8.396666667,8.106666667,7.906666667,9.316666667,8.17693696,8.301660845,5.50956781,8.087848023,9.368778759,8.530066713,9.25165019,5.48824778,4.61871308,8.790321368,8.8,8.8,8.8,8.8,8.8
1984:01,8.9,8.6,9,8.05,8,7.737111487,6.895578347,5.636216565,4.668458377,1.096202559,8.8,9.14,8.396666667,8.106666667,7.906666667,7.737111487,8.924049192,6.215783431,5.424749214,8.092116373,8.557148571,8.047463112,8.193253872,4.636597711,4.879773735,9.17,9.17,9.17,9.17,9.17
1984:02,9.8,8.9,8.65,8.7,8,9.698507929,7.855710328,7.331774687,6.00763425,4.802318808,9.17,8.8,9.14,8.396666667,8.106666667,9.698507929,8.664370424,8.872350778,7.228312876,8.171399766,9.631659944,8.610553381,9.419155545,8.056158051,5.274634556,9.796666667,9.796666667,9.796666667,9.796666667,9.796666667
1984:03,10.3,9.9,8.9,8.7,8.9,9.460755327,9.335396693,8.180385573,7.632992893,6.037362101,9.796666667,9.17,8.8,9.14,8.396666667,9.460755327,8.963797975,8.632003979,8.966119332,8.275500921,10.34363835,9.606047584,9.780113876,8.326927058,8.619059486,10.32,10.32,10.32,10.32,10.32
1984:04,9.5,10.4,10.2,9,8.8,10.47617235,9.377757424,9.298891357,8.015472926,7.373311348,10.32,9.796666667,9.17,8.8,9.14,10.47617235,9.492499633,8.927209537,8.506087937,8.838681125,9.199613228,10.15238608,9.732807036,8.582566968,8.06737181,8.803333333,8.803333333,8.803333333,8.803333333,8.803333333
1985:01,8,9.275,10.5,10.1,9.1,8.009889091,10.14780621,9.452179168,9.362406011,7.885294602,8.803333333,10.32,9.796666667,9.17,8.8,8.009889091,9.944006706,9.4180306,9.121246584,8.474668543,7.496341337,8.739710937,9.973386059,9.739239663,8.292115394,8.183333333,8.183333333,8.183333333,8.183333333,8.183333333
1985:02,7.775,8.25,9.5,10.85,10.3,8.85836017,8.638443813,9.993255438,9.205034258,9.103180915,8.183333333,8.803333333,10.32,9.796666667,9.17,8.85836017,8.683013919,9.846979039,9.290504648,8.715153268,7.25754431,7.944016609,8.734606045,9.566183335,9.681961092,7.46,7.46,7.46,7.46,7.46
1985:03,7.2,7.85,8.5,9.75,10.9,6.920744906,8.700769188,8.564706942,10.0759785,9.177952859,7.46,8.183333333,8.803333333,10.32,9.796666667,6.920744906,8.146376249,8.676278015,9.67943312,9.11927046,7.432965116,7.073774215,8.39136341,8.929691548,9.831948473,7.106666667,7.106666667,7.106666667,7.106666667,7.106666667
1985:04,7.15,7.475,8.2,8.85,9.95,7.466220797,7.230396595,8.360093717,8.209317618,9.960109694,7.106666667,7.46,8.183333333,8.803333333,10.32,7.466220797,7.558186348,8.170682177,8.62860785,9.470352237,7.243002747,7.515946799,6.972039335,7.911355442,8.649028064,7.166666667,7.166666667,7.166666667,7.166666667,7.166666667
1986:01,7,7.1,7.675,8.4,8.8,6.664752223,7.046891746,6.891722817,8.142337232,7.966057104,7.166666667,7.106666667,7.46,8.183333333,8.803333333,6.664752223,7.275893251,7.594929354,8.180170817,8.554519547,7.195260837,7.302347785,6.283509971,6.599876082,7.471354285,6.896666667,6.896666667,6.896666667,6.896666667,6.896666667
1986:02,6.15,7,7.07,7.9,8.2,6.667745162,6.336889017,6.57177917,6.390988699,7.796999118,6.896666667,7.166666667,7.106666667,7.46,8.183333333,6.667745162,7.345876444,7.327729348,7.653968834,8.166142953,5.906479776,7.120609543,6.118056234,5.760193248,6.708948215,6.14,6.14,6.14,6.14,6.14
1986:03,5.675,6.1,7,7.2,7.8,6.058827179,6.717200715,6.449724107,6.689937876,6.483327537,6.14,6.896666667,7.166666667,7.106666667,7.46,6.058827179,7.178463756,7.392612042,7.397198685,7.71272314,5.461112245,5.780888319,7.470166695,6.660436491,7.070997039,5.523333333,5.523333333,5.523333333,5.523333333,5.523333333
1986:04,5.25,5.42,6.15,7.1,7.1,5.682462337,6.353513051,6.767148279,6.452239474,6.703239532,5.523333333,6.14,6.896666667,7.166666667,7.106666667,5.682462337,6.599967213,7.239569083,7.454319765,7.484316708,5.460467084,5.654890627,5.949187251,7.600614474,7.053633206,5.353333333,5.353333333,5.353333333,5.353333333,5.353333333
1987:01,5.475,5.1,5.525,6.3,7.15,5.613437364,6.003402093,6.428620948,6.896579236,6.524526952,5.353333333,5.523333333,6.14,6.896666667,7.166666667,5.613437364,6.073096237,6.714433945,7.319611499,7.526008243,5.452412749,5.63798391,6.24116586,6.085057383,7.176083678,5.536666667,5.536666667,5.536666667,5.536666667,5.536666667
1987:02,5.715,5.37,5.1,5.65,6.52,5.752497659,5.818891349,6.025966234,6.507223645,7.039770376,5.536666667,5.353333333,5.523333333,6.14,6.896666667,5.752497659,5.937832666,6.257337535,6.852123622,7.413433791,5.901329986,5.645172157,5.490777646,6.13954347,5.852103693,5.656666667,5.656666667,5.656666667,5.656666667,5.656666667
1987:03,5.88,5.95,5.55,5.25,5.8,5.703751882,5.820104653,5.81115318,6.031298969,6.581139463,5.656666667,5.536666667,5.353333333,5.523333333,6.14,5.703751882,6.136835674,6.122132111,6.455253628,7.014029231,5.874598312,6.049028648,5.411598644,5.532438985,5.715321121,6.043333333,6.043333333,6.043333333,6.043333333,6.043333333
1987:04,5.9,6,6,5.7,5.5,6.320321164,5.887205881,5.955719601,5.929974567,6.17780251,6.043333333,5.656666667,5.536666667,5.353333333,5.523333333,6.320321164,6.267281382,6.291452024,6.362069419,6.67568113,5.935309382,6.098336182,5.879717759,5.488634007,5.878093002,5.863333333,5.863333333,5.863333333,5.863333333,5.863333333
1988:01,5.775,5.745,6.1,6.175,5.98,5.921358732,6.491504509,6.199983058,6.275230255,6.241300971,5.863333333,6.043333333,5.656666667,5.536666667,5.353333333,5.921358732,6.572727481,6.425502421,6.511601305,6.605148489,5.987071332,6.015829609,6.554754296,6.182117679,6.144928706,5.723333333,5.723333333,5.723333333,5.723333333,5.723333333
1988:02,6.15,5.75,5.76,6.3,6.3,6.265974017,6.525965254,6.890081621,6.558404587,6.640675204,5.723333333,5.863333333,6.043333333,5.656666667,5.536666667,6.265974017,6.422392589,6.731761305,6.622125487,6.754814848,6.243666942,6.405254579,6.958197212,6.882546939,6.454357201,6.21,6.21,6.21,6.21,6.21
