,SPFfor_Step1,SPFfor_Step2,SPFfor_Step3,SPFfor_Step4,SPFfor_Step5,IARfor_Step1,IARfor_Step2,IARfor_Step3,IARfor_Step4,IARfor_Step5,NCfor_Step1,NCfor_Step2,NCfor_Step3,NCfor_Step4,NCfor_Step5,DARfor_Step1,DARfor_Step2,DARfor_Step3,DARfor_Step4,DARfor_Step5,DARMfor_Step1,DARMfor_Step2,DARMfor_Step3,DARMfor_Step4,DARMfor_Step5,Realiz1,Realiz2,Realiz3,Realiz4,Realiz5
1980:03,8,7.7,7,7.5,7.15,8.417034123,6.364091629,5.877239927,5.87386592,5.628265029,7.5,6.133333333,5.866666667,5.833333333,5.733333333,8.417034123,6.334569555,5.870558868,5.824456824,5.598696259,7.782908268,7.390302508,6.393366076,5.776304505,5.410621502,7.633333333,7.533333333,7.666666667,7.666666667,7.666666667
1980:04,7.7,8.3,8,7.1,7.5,7.629090192,8.973451247,6.378833231,5.847333156,5.842941786,7.633333333,7.5,6.133333333,5.866666667,5.833333333,7.629090192,8.701943312,6.323012651,5.828376649,5.789476182,7.605970756,7.547173165,7.519789962,6.432507493,5.829798655,7.5,7.5,7.433333333,7.433333333,7.4
1981:01,7.6,7.8,8.5,8,7.2,7.398167195,7.542283134,9.248444219,6.352476272,5.81088471,7.5,7.633333333,7.5,6.133333333,5.866666667,7.398167195,7.595705967,8.727461123,6.263955244,5.779703121,7.342826062,7.414235608,7.679357745,7.698884084,6.361212608,7.333333333,7.333333333,7.366666667,7.4,7.433333333
1981:02,7.4,7.7,7.7,8.3,7.9,7.153614308,7.258141147,7.410243073,9.310750897,6.299479858,7.333333333,7.5,7.633333333,7.5,6.133333333,7.153614308,7.273696686,7.435025519,8.529292877,6.197187226,7.255287432,7.151196578,7.25141564,7.283813405,7.48442918,7.4,7.4,7.4,7.366666667,7.4
1981:03,7.2,7.5,7.6,7.6,8.1,7.373824034,6.975544653,7.10119558,7.257749442,9.218658618,7.4,7.333333333,7.5,7.633333333,7.5,7.373824034,6.999227476,7.156446645,7.242158425,8.314862112,6.794962058,7.190968528,6.980784777,7.080252869,7.067468001,7.233333333,7.366666667,7.4,7.433333333,7.4
1981:04,8.1,7.5,7.3,7.5,7.5,7.064575203,7.291099994,6.808322274,6.941743876,7.10076001,7.233333333,7.4,7.333333333,7.5,7.633333333,7.064575203,7.279875085,6.86541018,6.997109708,7.056545633,8.028945315,6.357308384,7.063954646,6.865289464,6.972545463,8.366666667,8.366666667,8.3,8.233333333,8.233333333
1982:01,8.9,8.4,7.6,7.1,7.3,8.894108995,6.903924085,7.177394171,6.657161224,6.78908056,8.366666667,7.233333333,7.4,7.333333333,7.5,8.894108995,6.93179559,7.165880781,6.762240316,6.83925442,8.63040052,8.529704572,6.187909187,6.948256765,6.721370816,8.766666667,8.766666667,8.8,8.833333333,8.833333333
1982:02,9.4,9.1,8.3,7.4,7,8.91051385,9.118227712,6.757288572,7.050257119,6.524471407,8.766666667,8.366666667,7.233333333,7.4,7.333333333,8.91051385,8.987234391,6.802643811,7.051654222,6.639140162,9.500633177,8.777200804,8.572238662,6.095751629,6.837921167,9.466666667,9.466666667,9.4,9.433333333,9.433333333
1982:03,9.8,9.4,9,8.2,7.2,9.802644215,8.898648457,9.15248694,6.627572171,6.921330749,9.466666667,8.766666667,8.366666667,7.233333333,7.4,9.802644215,8.891295186,8.900318166,6.707750752,6.965269946,9.81309331,9.700482424,8.547915628,8.442673996,6.120077058,9.9,9.966666667,10,9.9,9.9
1982:04,10.45,9.6,9.2,8.8,8,10.06545929,9.908755794,8.796441129,9.072388613,6.515642217,9.9,9.466666667,8.766666667,8.366666667,7.233333333,10.06545929,9.813966667,8.713528998,8.664890721,6.622592853,10.53136199,9.813984323,9.623567957,8.105596737,8.226993288,10.66666667,10.66666667,10.6,10.6,10.66666667
1983:01,10.5,10.3,9.35,9,8.5,11.05093526,10.06338027,9.873546737,8.645959821,8.927667305,10.66666667,9.9,9.466666667,8.766666667,8.366666667,11.05093526,10.04924526,9.656524707,8.477798198,8.519298533,10.38968788,10.7523227,9.732639926,9.420779242,7.931041689,10.36666667,10.36666667,10.36666667,10.36666667,10.36666667
1983:02,10.2,10.3,10.1,9.2,8.9,10.02999929,11.22255846,9.96036249,9.75508284,8.473848017,10.36666667,10.66666667,9.9,9.466666667,8.766666667,10.02999929,11.10329463,9.851726255,9.344689764,8.27207812,10.1514851,10.3041938,10.67953695,9.533110467,9.106384962,10.1,10.1,10.1,10.16666667,10.13333333
